"id_men","culture_label","superficie","production_kg"
367,"Niébé",2.5,170
368,"Arachide",2,900
368,"Mil",1,300
369,"Mais",0.25,100
370,"Arachide",1,720
370,"Mil",1,400
371,"Arachide",1.5,1200
371,"Mais",0.5,1000
371,"Mil",2,4000
372,"Riz",1,6315.78947368421
373,"Arachide",6,3500
373,"Mais",2,1100
373,"Mil",4,2200
373,"Sorgho",2,1000
374,"Arachide",0.4297,700
374,"Niébé",0.4023,100
374,"Sorgho",1.1843,1200
375,"Arachide",3,0
375,"Mil",4,0
375,"Niébé",1,0
376,"Mil",0.025,10
376,"Riz",0.02,16
377,"Arachide",1,700
377,"Mil",2,200
377,"Sorgho",2,300
378,"Mais",1,300
378,"Mil",3,1500
378,"Sorgho",2,400
379,"Mil",1.5,513
379,"Niébé",1.5,300
380,"Arachide",0.1098,43.92
380,"Mil",1,1000
381,"Arachide",2,500
383,"Mil",2,750
383,"Niébé",1,360
383,"Pastèque",1,2833.75
384,"Arachide",0.75,100
384,"Mil",1.5,250
385,"Arachide",2,2000
385,"Mil",1,1500
386,"Sorgho",0.5,100
387,"Arachide",2,1500
387,"Mil",4,1840
387,"Niébé",1,50
388,"Arachide",2,800
389,"Mais",0.2,400
389,"Mil",0.45,765
390,"Arachide",0.5,230
390,"Manioc",0.7,2800
390,"Niébé",0.35,200
391,"Arachide",0.5,40
391,"Niébé",1,140
392,"Niébé",1,159
393,"Arachide",4,400
393,"Mil",11,1000
394,"Arachide",4,2000
394,"Mais",2,1200
394,"Mil",6,2500
395,"Arachide",0.4,350
395,"Mil",0.5,300
395,"Riz",0.45,250
396,"Riz",1.5,1800
397,"Niébé",0.1,16
397,"Pastèque",1.2,3501
398,"Arachide",1.5,400
398,"Mil",6.52173913043478,3000
398,"Niébé",0.833333333333333,150
399,"Arachide",1,750
399,"Mais",1,800
399,"Mil",1,900
399,"Sorgho",1,920
400,"Niébé",0.7,120
401,"Arachide",1,60
401,"Mil",1,350
401,"Niébé",1,30
402,"Arachide",6,3400
402,"Mil",2,400
402,"Sorgho",0.5,50
402,"Sésame",0.5,50
403,"Mais",1,900
403,"Sorgho",1,800
404,"Arachide",4,1800
404,"Mais",1,350
404,"Mil",10,2000
405,"Arachide",4,1755
405,"Mil",5,1750
406,"Arachide",2,200
406,"Mais",1,50
406,"Mil",2,1067
407,"Arachide",1.5,900
407,"Mil",1.5,770
407,"Niébé",0.5,245
408,"Arachide",1,800
408,"Mil",2,750
409,"Riz",1,250
410,"Arachide",1.1859,500
410,"Mil",0.4197,350
410,"Sorgho",0.1955,50
411,"Mil",3.5,500
411,"Niébé",2.5,600
413,"Arachide",1,200
413,"Mil",1,200
414,"Arachide",3,200
415,"Arachide",1.5,600
415,"Mil",1,300
415,"Sorgho",1.5,600
416,"Arachide",0.63424,630
416,"Mais",0.39592,450
418,"Arachide",1,325
418,"Mais",0.25,215
418,"Mil",0.75,250
418,"Riz",0.25,120
418,"Sorgho",0.25,175
419,"Arachide",2.5,404
419,"Manioc",3,707.648320228735
420,"Mil",1.7,400
421,"Arachide",3,850
421,"Mil",2,1050
421,"Niébé",1,350
422,"Riz",1,800
423,"Arachide",2,3500
423,"Mais",0.5,160
423,"Mil",2,600
423,"Sorgho",0.5,150
423,"Sésame",1,200
424,"Riz",0.45,400
425,"Arachide",7,700
425,"Mais",3,200
425,"Mil",5,1000
426,"Arachide",3,900
426,"Mil",4,1600
426,"Niébé",0.4,75
427,"Arachide",8,3000
427,"Mil",7,2000
428,"Arachide",1,650
428,"Mil",1,500
428,"Niébé",1,200
429,"Arachide",2.75,1450
429,"Mais",0.75,345
429,"Sorgho",1.75,1015
430,"Mil",1,500
430,"Niébé",1,80
431,"Mais",0.55,0
431,"Riz",0.27,96
431,"Sorgho",0.85,750
432,"Mais",1,70
432,"Mil",2.5,500
432,"Riz",1,1000
433,"Arachide",1,600
433,"Mil",1,400
433,"Niébé",1,80
434,"Arachide",10,500
434,"Mil",5,1917
435,"Arachide",4,1160
435,"Mais",1,300
435,"Mil",4,1600
436,"Arachide",2,1500
436,"Mil",2,1300
437,"Mil",0.0025,1
437,"Riz",0.0025,2
438,"Riz",0.35,1225
439,"Arachide",6,600
439,"Niébé",4,800
440,"Arachide",0.25,100
440,"Mais",0.25,150
440,"Mil",1,200
441,"Arachide",4,3200
441,"Mil",4,1500
442,"Arachide",1,250
442,"Mil",2,450
442,"Niébé",1,150
443,"Niébé",0.31019,316
444,"Arachide",2,200
444,"Mil",2,400
444,"Sorgho",2,200
445,"Arachide",0.7,500
445,"Mil",1,300
446,"Arachide",2,500
446,"Mais",2,50
446,"Mil",2,150
447,"Mais",4,500
447,"Mil",4,400
448,"Arachide",2,0
448,"Mil",2,600
449,"Mais",1,600
450,"Arachide",8,1200
450,"Mil",6,1000
450,"Niébé",5,500
451,"Arachide",1,900
451,"Mais",1,420
451,"Mil",1,540
452,"Arachide",1,60
452,"Mil",0.5,15
452,"Niébé",1,100
453,"Arachide",0.3,15
453,"Riz",0.4,2526.31578947368
454,"Arachide",1,700
454,"Mil",1,500
455,"Arachide",2,1600
455,"Mil",1,1250
455,"Niébé",3,450
456,"Arachide",1.4665,1000
456,"Mais",0.2669,300
456,"Sorgho",0.1335,100
457,"Arachide",3,4350
457,"Mais",2,350
457,"Sorgho",8,3200
458,"Arachide",2,390
458,"Sorgho",2,550
459,"Niébé",3,150
460,"Arachide",1,250
460,"Mais",1,98
460,"Riz",0.5,25
461,"Arachide",2,900
461,"Niébé",0.5,20
461,"Riz",1,1100
462,"Mil",1.1209,1045
463,"Arachide",3,1000
463,"Mil",1,350
464,"Arachide",2,300
464,"Mil",1,100
465,"Arachide",13,800
465,"Mil",5,1500
465,"Niébé",2,300
466,"Arachide",1,2000
466,"Mais",1,500
466,"Riz",1,1150
467,"Arachide",2,350
467,"Mais",4,250
467,"Riz",1,355
